"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
482,"GPC","Genuine Parts Company","Services","Specialty Retail, Other","USA",13832.99,20.92,93.53,0.20%,371622
483,"GPI","Group 1 Automotive, Inc.","Services","Auto Dealerships","USA",1559.98,11.82,75.36,0.96%,70555
484,"GPK","Graphic Packaging Holding Company","Consumer Goods","Packaging & Containers","USA",4670.38,15.81,15.39,1.18%,1410319
485,"GPN","Global Payments Inc.","Services","Business Services","USA",17549.85,56.46,113.29,0.94%,275914
486,"GPS","The Gap, Inc.","Services","Apparel Stores","USA",12551.62,14.80,32.50,0.87%,1333848
487,"GPT","Gramercy Property Trust","Financial","REIT - Diversified","USA",3522.79,50.44,22.15,1.42%,1389192
488,"GPX","GP Strategies Corporation","Services","Education & Training Services","USA",380.29,19.08,22.60,-0.22%,29475
489,"GRA","W. R. Grace & Co.","Basic Materials","Specialty Chemicals","USA",4571.71,29.79,67.55,0.33%,188375
490,"GRC","The Gorman-Rupp Company","Industrial Goods","Diversified Machinery","USA",715.87,26.63,27.46,0.81%,13689
491,"GS","The Goldman Sachs Group, Inc.","Financial","Investment Brokerage - National","USA",99378.18,13.20,263.12,-0.11%,1128102
492,"GSB","GlobalSCAPE, Inc.","Technology","Application Software","USA",76.62,18.02,3.59,1.02%,30733
493,"GST","Gastar Exploration Inc.","Basic Materials","Independent Oil & Gas","USA",154.80,,0.80,9.58%,1843397
494,"GTN","Gray Television, Inc.","Services","Broadcasting - TV","USA",1378.78,8.29,14.80,-1.99%,372007
495,"GTS","Triple-S Management Corporation","Financial","Accident & Health Insurance","USA",575.67,14.52,25.49,0.51%,81438
496,"GTT","GTT Communications, Inc.","Technology","Diversified Communication Services","USA",1981.78,,45.45,-0.33%,42286
497,"GTY","Getty Realty Corp.","Financial","REIT - Retail","USA",924.18,20.29,24.09,2.09%,68652
498,"GV","The Goldfield Corporation","Industrial Goods","Heavy Construction","USA",122.16,15.84,4.74,-1.15%,19244
499,"GVA","Granite Construction Incorporated","Industrial Goods","Heavy Construction","USA",2373.15,45.38,60.92,2.32%,127575
500,"GVP","GSE Systems, Inc.","Technology","Business Software & Services","USA",66.01,71.43,3.45,-1.43%,4616
501,"GWR","Genesee & Wyoming Inc.","Services","Railroads","USA",4340.27,8.08,71.82,1.36%,224246
